Spanish,English
de,of
que,what
no,do not
a,to
la,the
el,the
y,Y
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,Yes
si,Yes
bien,good
eso,that
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,Okay
él,he
cuando,when
estás,are
sé,he
tú,your
nos,us
nada,nothing
cómo,as
este,this
o,or
he,I
ser,to be
tiene,It has
puedo,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,single
todos,everybody
porque,because
son,are
tienes,have
creo,I think
voy,I go
sabes,know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,Hello
solo,only
verdad,true
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,a lot of
mí,my
quieres,you want
siento,I feel
señor,Mister
mejor,better
hace,make
has,you
decir,tell
también,as well
sobre,on
sin,without
tenemos,we have
ti,you
puedes,you can
ver,watch
hombre,men
vida,lifetime
alguien,somebody
cosas,things
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,be
ni,neither
poco,little
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
nosotros,We
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,He said
